Name,Prerequisite,Benefit,Special,Source Book,PDF Page
Able Learner,"Human or doppelganger, 1st level only",Cross-class skills cost less per rank,,Races of Destiny,
Able Sniper,"Dex 13, Hide 5 ranks","\+2 bonus on ranged attacks against distant flat-footed targets, +4 bonus on Hide checks after sniping attack",,Races of the Wild,
Accelerate Metamagic,"Dragonblood subtype, Spellcraft 4 ranks, any metamagic feat, ability to spontaneously cast 1st-level spells",Apply selected metamagic feat to spells more quickly than normal,Multiple,Races of the Dragon,
Acheron Flurry,"Dex 15, Wis 15, Improved Unarmed Strike, Knowledge (the planes) 4 ranks",Distract foe with mock attacks,,Planar Handbook,
Acrobatic,-,\+2 bonus on Jump and Tumble checks,,Player's Handbook,
Acrobatic Strike,Tumble 12 ranks,\+6 on next attack against opponent you tumble past,Fighter Feat,Player's Handbook II,
Active Shield Defense,"Proficiency with shields, Shield Specialization",Make attacks of opportunity without penalty when fighting defensively,Fighter Feat,Player's Handbook II,
Adaptable Flanker,"Combat Reflexes, Vexing Flanker, base attack bonus +4",Flank chosen foe from adjacent square,Fighter Feat,Player's Handbook II,
Adaptive Style,"Crusader, swordsage, or warblade level 1st",Change readied maneuvers with a full-round action,,Tome of Battle,
Adroit Flyby Attack,"Fly speed 90, Flyby Attack, Hover or Wingover",Move before and after attacking,,Draconomicon,
Aerial Reflexes,-,Gain Reflex save bonus based on maneuverability,,Races of the Wild,
Aerial Superiority,-,\+1 dodge bonus against less maneuverable opponents,,Races of the Wild,
Agile,-,\+2 bonus on Balance and Escape Artist checks,,Player's Handbook,
Agile Athlete,"Climb 1 rank, Jump 1 rank",Use Dex modifier for Climb and Jump checks,,Races of the Wild,
Agile Shield Fighter,"Proficiency with shields, Improved Shield Bash, Shield Specialization",Reduce two weapon penalties when using shield bash,Fighter Feat,Player's Handbook II,
Alacritous Cogitation,Must prepare arcane spells,Spontaneously fill open slot with known spell,Wizard Feat,Complete Mage,
Alertness,-,\+2 bonus on Listen and Spot checks,,Player's Handbook,
Ancestral Knowledge,"Dwarf, Wis 15",Make untrained Knowledge checks and use Wisdom modifier,,Races of Stone,
Ancestral Relic,"Any good alignment, character level 3rd",Create personal magic item,,Book of Exalted Deeds,
Animal Affinity,-,\+2 bonus on Handle Animal and Ride checks,,Player's Handbook,
Antipsionic Magic,Spellcraft 5 ranks,Spells against psionic creatures are more potent,,Expanded Psionics Handbook,
